,mu [Debye],alpha [Bohr^3],homo [Hartree],lumo [Hartree],gap [Hartree],r2 [Bohr^2],zpve [Hartree],U0 [Hartree],U [Hartree],H [Hartree],G [Hartree],Cv [cal/(mol K)]
C,-0.32846571052587625,0.8354157359426351,0.06065437635647252,0.36150237008559283,0.31979578524753804,0.43536617107801984,0.7191518922691698,0.17671435775302657,0.17673090446712117,0.17673090429477387,0.1766932798282421,0.6029429587104753
H,-0.33389961970815646,0.6957536157599861,0.03953715037633673,0.6234068110171097,0.5868783645843862,0.46849710822431256,0.9928725339044813,0.12487888073874166,0.12490071884768587,0.12490071823816104,0.12485292148934368,0.7611621913758028
O,0.14198080987787426,-0.2815580354650648,-0.1332875019275771,-0.25953811727238263,-0.18079135970587512,0.14341812107379456,-0.158565208996527,-0.6653958271985771,-0.6653987730370473,-0.6653987740627146,-0.6653917700309433,0.08542066791657467
N,0.3437924264355294,-0.21451897694764255,0.1962823855225918,-0.2987201352990217,-0.3982870372692833,-0.15022707421086312,-0.45229711537515804,-0.18410608321265065,-0.18411612964043095,-0.184116128863584,-0.1840938153584673,-0.29329092391185607
F,-0.01748678360171359,-0.1526478835443225,-0.11368590032779337,0.01742070197328196,0.07883098209853497,-0.06604659684169963,-0.1007751028229853,-0.1091025513315174,-0.10910583294660053,-0.10910583087507121,-0.10909791974633516,-0.07665724327646926
FG_0,0.05420989166773203,0.005347457007015072,-0.0013095301262987245,-0.013497523007174246,-0.012440681411667499,0.05429108318069016,0.012019040830128362,-0.029402420300343225,-0.029400746898687203,-0.029400747594886575,-0.029406431541186696,0.038811674470864074
FG_1,0.2866630458897942,-0.02650085327418563,0.03544269773874206,-0.00799111949570697,-0.027064353963891417,0.05167160099966423,0.01237088765047739,-0.11413344033559869,-0.11413327678781121,-0.11413327899008345,-0.1141338623006943,0.04170526560815422
FG_2,-0.007448658079172652,-0.044378794473354743,-0.05713630621113726,-0.04088573094525948,-0.008822814978053744,0.055147690013547905,-0.02319605560887559,-0.08990087859261213,-0.08989988296682479,-0.08989988245902956,-0.08990300864479303,0.02353564194790042
FG_3,0.03126043046948222,0.006576339026143229,-0.03415062673359787,-0.1415652791725122,-0.11957595821205345,0.10240061964192365,0.020966275032823146,-0.058711321347807884,-0.05870754372576125,-0.05870754501350077,-0.058718923429692385,0.08846987436484555
FG_4,0.10417882415759762,-0.06949017241043638,-0.030857150132859425,-0.021006179048943835,-0.003717994875862548,0.0762418991748999,-0.034259405048762716,-0.13001478241953587,-0.13001323257221645,-0.13001323192476705,-0.1300179913733674,0.07013495616637459
FG_5,0.03126043046948222,0.006576339026143229,-0.03415062673359787,-0.1415652791725122,-0.11957595821205345,0.10240061964192365,0.020966275032823146,-0.058711321347807884,-0.05870754372576125,-0.05870754501350077,-0.058718923429692385,0.08846987436484555
FG_6,,,,,,,,,,,,
FG_7,,,,,,,,,,,,
FG_8,,,,,,,,,,,,
FG_9,,,,,,,,,,,,
FG_10,-0.10851041072883799,0.07385348198760697,0.04521989772767847,-0.07920686651954627,-0.10189682963976496,0.058372899419420594,-0.007171680038045349,-0.11734706094596645,-0.11734721624305364,-0.11734721495218667,-0.11734642594106649,0.05249890030644928
FG_11,0.008388861899672773,0.020154782410944184,0.02044689684786619,-0.04805510750506368,-0.05802164204191602,0.05506586748403315,-0.016812188932596717,-0.03959418708021389,-0.03959318378025433,-0.03959318184906513,-0.03959613746135788,0.01622432087847454
FG_12,,,,,,,,,,,,
FG_13,,,,,,,,,,,,
FG_14,,,,,,,,,,,,
FG_15,,,,,,,,,,,,
FG_16,0.32021049462106727,-0.06558999950065939,-0.43996172525849886,-0.1938055812590911,0.05017061280645261,0.05335224842636428,-0.2012995978601295,0.04000687407003761,0.04000866306637961,0.04000865830549829,0.040003824809997514,-0.02005060727226012
FG_17,,,,,,,,,,,,
FG_18,,,,,,,,,,,,
FG_19,,,,,,,,,,,,
FG_20,,,,,,,,,,,,
FG_21,,,,,,,,,,,,
FG_22,,,,,,,,,,,,
FG_23,,,,,,,,,,,,
FG_24,,,,,,,,,,,,
FG_25,,,,,,,,,,,,
FG_26,,,,,,,,,,,,
FG_27,-0.01748678360171359,-0.1526478835443225,-0.11368590032779337,0.01742070197328196,0.07883098209853497,-0.06604659684169963,-0.1007751028229853,-0.1091025513315174,-0.10910583294660053,-0.10910583087507121,-0.10909791974633516,-0.07665724327646926
FG_28,-0.046047253714698554,0.11656886969092749,-0.05550032696874921,0.05871178197300668,0.08748889067363942,0.0514289711865701,0.1640078395133662,0.04832926484841006,0.04833392837172738,0.04833392757643939,0.048324585735709476,0.15477299102449754
FG_29,-0.012954520046666338,-0.13997750222012753,-0.10634244502570955,0.03172803467272123,0.08880264440586398,-0.05377144767786981,-0.08462946378252005,-0.11103213093248347,-0.1110348199784489,-0.11103481824274335,-0.11102822558894976,-0.056782589640629946
FG_30,-0.09966517190014265,0.10551138756542301,-0.11135174403233712,-0.08231948036863701,-0.019753971912971142,0.07524954684011152,-0.1433466831855229,0.13670430353848198,0.13670899184206908,0.13670899367342618,0.1366984017359454,0.08784680124601972
FG_31,-0.05146730756746425,-0.007130763974436585,-0.021374320994262435,0.0740492841501352,0.08390610400815403,-0.0240032526580083,0.030817826550305568,0.12554841857640056,0.12554883793636284,0.12554883743761602,0.12554703239173953,-0.03480895688310692
FG_32,-0.04009045040789701,0.04647572513505104,-0.02583139588489035,0.057149282574919594,0.0698266800600523,0.13658765115977703,0.09531830166356403,-0.021330621888537883,-0.021327350452914146,-0.021327350873069178,-0.02133596612926209,0.08611352155184462
FG_33,-0.07652072245824973,0.024536365085256435,0.0074273929188559415,0.09895170390825098,0.09251686254727419,0.13681826091936175,0.10189385114485244,-0.08960927936902947,-0.08960508054869112,-0.08960508496298693,-0.08961510808771865,0.11667801297822346
FG_34,-0.07290528566389101,-0.01574648191390499,0.021447294526118387,0.1423168575470039,0.12723042397059614,0.11931709609417118,0.10948566229430878,-0.3301755233303108,-0.33017267847748594,-0.33017267828180735,-0.3301747507648901,0.25931209943591893
FG_35,0.33160186731687546,-0.1989102819736148,-0.18784192091638938,-0.5977281215025512,-0.4811545132507914,0.15019196696160014,-0.237281315731552,-0.37605845973866536,-0.3760589894369079,-0.37605898964106,-0.37606195842679047,-0.00034233128843695154
