TargetParams,NumLayers,HiddenLayers,ParamsActual,R2_mean,R2_std,MSE_scaled_mean,MSE_scaled_std,Time_mean,Time_std
2500,1,[27],2500,0.901065953572591,0.0018620328240801238,0.0008054181234911084,1.5208886907203123e-05,402.2717312335968,259.5166575137647
2500,2,"[22, 22]",2500,0.9039887249469757,0.0023969283231614967,0.0007849382236599922,1.889228769869078e-05,385.35254287719727,188.02532367591255
2500,3,"[19, 19, 19]",2500,0.9043178071578343,0.003314690188217097,0.000782910268753767,2.7939860956394114e-05,357.08216643333435,95.60810212000749
5000,1,[54],5000,0.9051477819681167,0.0012234500783911528,0.0007754036341793835,1.0910913260886446e-05,237.51620593070984,57.28171801406954
5000,2,"[38, 38]",5000,0.9053880472977955,0.001404183758682802,0.0007755988044664264,1.348252499155933e-05,246.53626408576966,79.21194083564046
5000,3,"[32, 32, 32]",5000,0.904598617553711,0.0016579273250120262,0.0007823232444934547,1.3070690329186618e-05,189.67004342079161,28.920384303638134
7500,1,[81],7500,0.9042224953571955,0.0014375298264482762,0.0007832703995518386,1.1620461009442806e-05,192.602841091156,30.861347084977325
7500,2,"[51, 51]",7500,0.9040360321601233,0.003150912175908027,0.0007854701252654195,2.5409644877072424e-05,139.24284925460816,14.075593722815302
7500,3,"[42, 42, 42]",7500,0.9012205491463343,0.004157297252035145,0.0008082396234385669,3.588594336179085e-05,172.74940028190613,73.85638662071442
10000,1,[107],10000,0.9025912324587504,0.0010868619440973803,0.0007956551271490753,9.6050735010067e-06,186.77892098426818,49.17553828830157
10000,2,"[63, 63]",10000,0.9030586312214532,0.0027841281886124528,0.0007937457412481308,2.3140388293541037e-05,155.5869120121002,58.37440701634182
10000,3,"[51, 51, 51]",10000,0.9017245650291443,0.0019815301476095253,0.0008046812145039439,1.8446615285938606e-05,159.18450922966002,37.13391713947833
12500,1,[134],12500,0.9015110363562903,0.0016153262808691418,0.0008052519406192005,1.4422489584831055e-05,143.1685520172119,25.417508406851734
12500,2,"[74, 74]",12500,0.9021944115559262,0.0016480994931151924,0.0008013081969693303,1.4345604540721979e-05,127.3045702457428,36.34026359489804
12500,3,"[59, 59, 59]",12500,0.9006075640519459,0.0009367229337946307,0.0008159065619111061,1.0328577445761766e-05,102.99881944656372,6.677362354132164
